
Negative_1:23.366406986893917 :766
Negative_2:6.017778558144309 :448
Negative_3:42.82119227822661 :1413
Positive_4:-9.151977280062095 :594
Positive_5:-36.270577841625325 :1249
Positive_6:18.863537592630536 :941

Negative_1:15.110835970497128 :991
Negative_2:26.642968729054882 :1019
Negative_3:2.997111655658218 :1568
Positive_4:-12.492285672084192 :935
Positive_5:-8.044561989084043 :594
Positive_6:-6.811008664870174 :635

Negative_1:24.95716388011194 :1125 :0.02218414567121061
Negative_2:1.8630355098541012 :683 :0.0027277240261407046
Negative_3:34.26178290147502 :661 :0.051833257037027264
Positive_4:-15.403525278452861 :607 :-0.02537648316054837
Positive_5:-14.886402687012376 :400 :-0.03721600671753094
Positive_6:-14.841836391023262 :670 :-0.022151994613467556

Negative_1:19.216031069467107 :583 :0.0329606021774736
Negative_2:5.042730601173478 :720 :0.0070037925016298306
Negative_3:-1.3325398362417489 :2281 :-0.0005841910724426781
Positive_4:-4.995704198877405 :162 :-0.030837680239983983
Positive_5:-17.04239233308429 :635 :-0.026838413122967385
Positive_6:-18.64426074160825 :352 :-0.052966649834114345

Negative_1:14.6419015904367 :1517 :0.009651879756385432
Negative_2:21.00126371321298 :779 :0.02695926022235299
Negative_3:-3.9512280135661157 :1051 :-0.0037594938283217086
Positive_4:-17.376559975037654 :1880 :-0.009242851050551944
Positive_5:-54.46019424390806 :3149 :-0.017294440852304877
Positive_6:-55.40915059260869 :2549 :-0.02173760321404813

Negative_1:28.549663114291057 :1092 :0.2614438014129218
Negative_2:28.890758195296517 :964 :0.2996966617769348
Negative_3:17.159823350888427 :1818 :0.094388467276614
Positive_4:-55.00862933024911 :1910 :-0.2880032949227702
Positive_5:-7.549583184527742 :239 :-0.3158821416120394
Positive_6:-23.324956216218563 :1593 :-0.14642157072328035

Negative_1:24.538401272484197 :1482 :0.16557625689935357
Negative_2:-20.713327324774163 :2118 :-0.09779663515001964
Negative_3:13.194687507815564 :1707 :0.07729752494326635
Positive_4:-53.02182238512391 :3544 :-0.14961010831016905
Positive_5:-0.5496188981204381 :1034 :-0.005315463231338859
Positive_6:-6.454123108881559 :638 :-0.1011618042144445

Negative_1:23.51096774537844 :1360 :0.172874762833665
Negative_2:25.807825368825274 :1133 :0.22778310122528928
Negative_3:7.089655662802688 :461 :0.1537886260911646
Positive_4:-14.476956745028824 :3702 :-0.039105771866636475
Positive_5:-5.404464480458694 :531 :-0.10177899209903378
Positive_6:-19.39271185257336 :1020 :-0.19012462600562116

Negative_1:29.34929732725955 :772 :3.8017224517175583
Negative_2:10.452413740156983 :733 :1.4259773178931763
Negative_3:17.32117090009556 :889 :1.948388177738533
Positive_4:-15.197911912528395 :578 :-2.6293965246588917
Positive_5:3.1374961845831484 :751 :0.417775790224121
Positive_6:-15.945742203594815 :935 :-1.7054269736465044

Negative_1:-21.436246162695927 :2277 :4.0585750477516065
Negative_2:-24.711960424714267 :727 :1.6008307531342134
Negative_3:-15.601324364608255 :959 :3.3731674280909014
Positive_4:6.357272345465547 :898 :5.707936786800172
Positive_5:16.28202802908097 :929 :6.7526402614726555
Positive_6:8.569457735762551 :1068 :5.802383683123835

Negative_1:-27.066472549044697 :655 :0.8677141146496643
Negative_1:-36.29492061425994 :1240 :2.0729902730435534
Negative_2:-15.954712082164951 :2050 :4.221721361845612
Negative_3:-12.527278895538426 :676 :3.146852234387807
Positive_4:45.18069610879682 :2532 :6.7843876820219915
Positive_5:16.419514378492348 :722 :7.274170966550187
Positive_6:15.316805880224212 :817 :6.874762041643111

Negative_1:238.43376438599464 :613 :43.89620952463208
Negative_2:-385.6391859498318 :838 :-41.0189959367341
Negative_3:608.7167161741875 :853 :76.36186590553194
Positive_4:-161.3794369487527 :734 :-16.98629931181917
Positive_5:171.05326681153832 :669 :30.568500270783005
Positive_6:-613.5621887436301 :963 :-58.71362292249534

Negative_1:523.6131063759591 :1665 :36.44823461717472
Negative_2:-2.697099980456317 :758 :4.644182060625815
Negative_3:0.8063298805339946 :745 :5.108232198729395
Positive_4:64.61737987802297 :1626 :8.974008602584439
Positive_5:-127.33387742501674 :881 :-9.45333455448544
Positive_6:-1897.7891843157627 :1953 :-92.17302531058692

Negative_1:2.505377280191493 :1283 :5.195274924410873
Negative_2:99.83603019684053 :672 :19.856552112625078
Negative_3:-16.5188161854877 :526 :1.8595406491468247
Positive_4:327.07138422526185 :1194 :32.392913251696974
Positive_5:93.93580365552599 :1557 :11.033128044670905
Positive_6:234.09213521607973 :1343 :22.430538735374515

Negative_1:-35.516727048083915 :1145 :1.8981024412153782
Negative_2:-2.940923115596308 :1089 :4.7299427809369785
Negative_3:-5.883774371110166 :724 :4.187323981890861
Negative_1:1.32234247283548 :869 :5.152168293767029
Negative_2:-8.221291344792778 :964 :4.147168947635604
Negative_1:1.4408752273374419 :841 :5.171328802299339
Negative_2:21.571757374609845 :5996 :5.359769135667276
Negative_3:-33.30062756652525 :1543 :2.841825822000956
Positive_4:13.694813181555796 :1371 :5.998892281659796
Positive_5:27.423478053531515 :1953 :6.404171943345188
Positive_6:10.41769308041786 :1178 :5.8843542513088165

Negative_1:10.113980252864312 :901 :6.122528329951644
Negative_1:0.5985381293507809 :971 :5.061641413939318
